packet_row,pair_id,anchor,candidate,rating,near_duplicate,reason_code
25,m4-mudanca-cidade-a-3,"Na semana passada, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.","Pouco tempo depois, A prefeitura mudou o nome de uma rua no mapa oficial da cidade.",,,
26,m4-praia-inverno-b-4,"No começo do ano, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Meses depois, A praia estava lotada, fazia calor e não consegui ouvir meus próprios passos.",,,
27,m4-fotografia-caixa-b-3,"No começo do ano, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.","Meses depois, A caixa da câmera reconheceu automaticamente um rosto para ajustar a fotografia.",,,
28,m4-praia-inverno-c-4,"Numa tarde de inverno, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Quando a estação mudou, A praia estava lotada, fazia calor e não consegui ouvir meus próprios passos.",,,
29,m4-chave-antiga-b-1,"No começo do ano, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.","Meses depois, Guardei o objeto outra vez porque descartar aquela dúvida pareceu mais difícil que mantê-la.",,,
30,m4-onibus-retorno-b-5,"No começo do ano, Peguei o ônibus de volta sem pressa e observei as luzes passando pela janela.","Meses depois, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.",,,
31,m4-janela-vizinha-a-4,"Na semana passada, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Pouco tempo depois, A vizinha não acenou e nunca havíamos nos cruzado no corredor.",,,
32,m4-planta-varanda-c-3,"Numa tarde de inverno, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.","Quando a estação mudou, A loja recebeu uma planta de varanda com folhas impressas no catálogo da semana.",,,
33,m4-chave-antiga-a-2,"Na semana passada, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.","Pouco tempo depois, Achei numa gaveta uma chave velha e não recordei a porta correspondente.",,,
34,m4-caixa-mudanca-c-1,"Numa tarde de inverno, Deixei uma caixa da mudança fechada porque ainda não sabia onde colocar aquelas coisas.","Quando a estação mudou, Nem tudo que veio comigo parecia pronto para ganhar lugar na casa nova.",,,
35,m4-livro-esquecido-b-2,"No começo do ano, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Meses depois, Peguei na estante um livro antigo e achei uma nota de que não me recordava.",,,
36,m4-trabalho-recusa-b-5,"No começo do ano, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Meses depois, Liguei para meu pai sem assunto específico e ficamos falando sobre coisas pequenas.",,,
37,m4-praia-inverno-b-1,"No começo do ano, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Meses depois, Sem o movimento do verão, aquele lugar conhecido parecia ter guardado outra voz.",,,
38,m4-consulta-espera-a-4,"Na semana passada, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.","Pouco tempo depois, Fui atendido sem esperar e inventei várias respostas muito antes de entrar.",,,
39,m4-casa-chuva-a-4,"Na semana passada, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Pouco tempo depois, Não choveu, não usei casaco e passei o dia inteiro longe de casa.",,,
40,m4-receita-avo-b-4,"No começo do ano, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Meses depois, Segui medidas exatas de uma receita impressa que não tinha relação com minha família.",,,
41,m4-planta-varanda-b-5,"No começo do ano, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.","Meses depois, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.",,,
42,m4-receita-avo-c-3,"Numa tarde de inverno, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Quando a estação mudou, Escrevi as medidas do armário onde guardo o caderno de receitas da minha avó.",,,
43,m4-onibus-retorno-c-2,"Numa tarde de inverno, Peguei o ônibus de volta sem pressa e observei as luzes passando pela janela.","Quando a estação mudou, Voltei devagar de ônibus, olhando as luzes correrem do outro lado da janela.",,,
44,m4-livro-esquecido-b-5,"No começo do ano, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Meses depois, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.",,,
45,m4-casa-chuva-b-5,"No começo do ano, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Meses depois, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.",,,
46,m4-cafe-manha-c-4,"Numa tarde de inverno, Fiz café cedo e fiquei alguns minutos acompanhando a claridade chegar à cozinha.","Quando a estação mudou, Acordei tarde, não fiz café e mantive a cozinha completamente escura.",,,
47,m4-musica-cozinha-a-3,"Na semana passada, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Pouco tempo depois, Troquei a música do anúncio de detergente exibido na televisão da cozinha.",,,
48,m4-onibus-retorno-a-2,"Na semana passada, Peguei o ônibus de volta sem pressa e observei as luzes passando pela janela.","Pouco tempo depois, Voltei devagar de ônibus, olhando as luzes correrem do outro lado da janela.",,,
49,m4-cachorro-parque-c-5,"Numa tarde de inverno, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Quando a estação mudou, Fiz café cedo e fiquei alguns minutos acompanhando a claridade chegar à cozinha.",,,
50,m4-telefone-pai-b-3,"No começo do ano, Liguei para meu pai sem assunto específico e ficamos falando sobre coisas pequenas.","Meses depois, Meu pai comprou um telefone pequeno porque o aparelho anterior não resolvia chamadas.",,,
51,m4-livro-esquecido-c-5,"Numa tarde de inverno, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Quando a estação mudou, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.",,,
52,m4-praia-inverno-a-4,"Na semana passada, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Pouco tempo depois, A praia estava lotada, fazia calor e não consegui ouvir meus próprios passos.",,,
53,m4-amizade-distante-a-5,"Na semana passada, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Pouco tempo depois, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.",,,
54,m4-curso-desistencia-c-2,"Numa tarde de inverno, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.","Quando a estação mudou, Abandonei o curso que não desejava concluir e o alívio chegou antes da culpa.",,,
55,m4-onibus-retorno-c-3,"Numa tarde de inverno, Peguei o ônibus de volta sem pressa e observei as luzes passando pela janela.","Quando a estação mudou, A empresa trocou as luzes internas e instalou janelas novas em todos os ônibus.",,,
56,m4-janela-vizinha-c-3,"Numa tarde de inverno, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Quando a estação mudou, O corredor recebeu uma janela nova conforme o pedido técnico da vizinha.",,,
57,m4-curso-desistencia-a-1,"Na semana passada, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.","Pouco tempo depois, Deixar uma escolha incompleta abriu um espaço que eu vinha tentando preencher por obrigação.",,,
58,m4-amizade-distante-b-2,"No começo do ano, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Meses depois, Uma pessoa amiga de muitos anos escreveu, e eu hesitei bastante antes de responder.",,,
59,m4-chave-antiga-c-3,"Numa tarde de inverno, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.","Quando a estação mudou, A gaveta nova veio com uma chave e um manual para regular a abertura da porta.",,,
60,m4-receita-avo-c-4,"Numa tarde de inverno, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Quando a estação mudou, Segui medidas exatas de uma receita impressa que não tinha relação com minha família.",,,
61,m4-amizade-distante-c-2,"Numa tarde de inverno, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Quando a estação mudou, Uma pessoa amiga de muitos anos escreveu, e eu hesitei bastante antes de responder.",,,
62,m4-planta-varanda-a-1,"Na semana passada, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.","Pouco tempo depois, Continuei regando sem sinal de mudança, até perceber que a espera também fazia parte do cuidado.",,,
63,m4-musica-cozinha-b-3,"No começo do ano, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Meses depois, Troquei a música do anúncio de detergente exibido na televisão da cozinha.",,,
64,m4-chave-antiga-b-5,"No começo do ano, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.","Meses depois, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.",,,
65,m4-trabalho-recusa-a-1,"Na semana passada, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Pouco tempo depois, Dizer que eu não podia pareceu pequeno por fora e enorme enquanto eu voltava à mesa.",,,
66,m4-janela-vizinha-b-4,"No começo do ano, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Meses depois, A vizinha não acenou e nunca havíamos nos cruzado no corredor.",,,
67,m4-trabalho-recusa-a-2,"Na semana passada, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Pouco tempo depois, Neguei um trabalho adicional e terminei a conversa ainda com as mãos trêmulas.",,,
68,m4-janela-vizinha-c-4,"Numa tarde de inverno, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Quando a estação mudou, A vizinha não acenou e nunca havíamos nos cruzado no corredor.",,,
69,m4-receita-avo-c-1,"Numa tarde de inverno, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Quando a estação mudou, O sabor ficou diferente, mas o gesto de ajustar tudo aos poucos parecia familiar.",,,
70,m4-casa-chuva-b-4,"No começo do ano, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Meses depois, Não choveu, não usei casaco e passei o dia inteiro longe de casa.",,,
71,m4-receita-avo-a-3,"Na semana passada, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Pouco tempo depois, Escrevi as medidas do armário onde guardo o caderno de receitas da minha avó.",,,
72,m4-livro-esquecido-a-1,"Na semana passada, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Pouco tempo depois, Uma frase antiga na margem parecia ter esperado em silêncio até eu mudar de opinião.",,,
73,m4-telefone-pai-a-4,"Na semana passada, Liguei para meu pai sem assunto específico e ficamos falando sobre coisas pequenas.","Pouco tempo depois, Não fiz ligação e passei o dia evitando qualquer conversa com meu pai.",,,
74,m4-livro-esquecido-c-4,"Numa tarde de inverno, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Quando a estação mudou, Não abri nenhum livro e lembrava perfeitamente de todas as anotações guardadas.",,,
75,m4-musica-cozinha-a-2,"Na semana passada, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Pouco tempo depois, Parei por um momento ao ouvir uma canção antiga enquanto lavava a louça.",,,
76,m4-trabalho-recusa-c-2,"Numa tarde de inverno, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Quando a estação mudou, Neguei um trabalho adicional e terminei a conversa ainda com as mãos trêmulas.",,,
77,m4-receita-avo-a-4,"Na semana passada, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Pouco tempo depois, Segui medidas exatas de uma receita impressa que não tinha relação com minha família.",,,
78,m4-caixa-mudanca-b-3,"No começo do ano, Deixei uma caixa da mudança fechada porque ainda não sabia onde colocar aquelas coisas.","Meses depois, A transportadora indicou onde colocar a etiqueta na caixa usada durante a mudança.",,,
79,m4-curso-desistencia-a-4,"Na semana passada, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.","Pouco tempo depois, Terminei o curso com entusiasmo e não senti alívio nem culpa ao fechar o material.",,,
80,m4-consulta-espera-a-5,"Na semana passada, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.","Pouco tempo depois, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.",,,
81,m4-consulta-espera-c-1,"Numa tarde de inverno, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.","Quando a estação mudou, Cada pessoa chamada pelo nome fazia a sala parecer mais vazia e a espera mais alta.",,,
82,m4-trabalho-recusa-a-3,"Na semana passada, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Pouco tempo depois, O sistema recusou uma tarefa porque a mesa de trabalho estava sem conexão.",,,
83,m4-trabalho-recusa-b-2,"No começo do ano, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Meses depois, Neguei um trabalho adicional e terminei a conversa ainda com as mãos trêmulas.",,,
84,m4-mudanca-cidade-b-2,"No começo do ano, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.","Meses depois, Caminhei por uma rua que não conhecia e senti que começava a pertencer à cidade nova.",,,
85,m4-telefone-pai-a-1,"Na semana passada, Liguei para meu pai sem assunto específico e ficamos falando sobre coisas pequenas.","Pouco tempo depois, A conversa não resolveu nada, mas a voz do outro lado deixou o dia menos distante.",,,
86,m4-casa-chuva-b-1,"No começo do ano, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Meses depois, O cheiro de terra molhada trouxe de volta a sensação de finalmente chegar a um lugar conhecido.",,,
87,m4-silencio-familia-b-4,"No começo do ano, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.","Meses depois, O almoço foi barulhento, sem pausa alguma, e ninguém ficou em silêncio.",,,
88,m4-fotografia-caixa-c-5,"Numa tarde de inverno, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.","Quando a estação mudou, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.",,,
89,m4-praia-inverno-c-2,"Numa tarde de inverno, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Quando a estação mudou, Andei na praia deserta durante o frio e escutei claramente cada passo.",,,
90,m4-praia-inverno-b-5,"No começo do ano, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Meses depois, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.",,,
91,m4-janela-vizinha-b-3,"No começo do ano, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Meses depois, O corredor recebeu uma janela nova conforme o pedido técnico da vizinha.",,,
92,m4-amizade-distante-c-4,"Numa tarde de inverno, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Quando a estação mudou, Não recebi mensagem alguma e respondi imediatamente a todas as conversas novas.",,,
93,m4-casa-chuva-b-3,"No começo do ano, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Meses depois, Consultei a previsão de chuva antes de escolher a tinta para a porta da casa.",,,
94,m4-silencio-familia-a-1,"Na semana passada, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.","Pouco tempo depois, Ninguém tocou no assunto, mas todos pareciam saber por que a mesa ficou quieta.",,,
95,m4-curso-desistencia-a-3,"Na semana passada, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.","Pouco tempo depois, O material do curso explicava como medir culpa e alívio num exercício de vocabulário.",,,
96,m4-musica-cozinha-a-5,"Na semana passada, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Pouco tempo depois, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.",,,
97,m4-planta-varanda-c-5,"Numa tarde de inverno, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.","Quando a estação mudou, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.",,,
98,m4-caixa-mudanca-b-5,"No começo do ano, Deixei uma caixa da mudança fechada porque ainda não sabia onde colocar aquelas coisas.","Meses depois, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.",,,
99,m4-consulta-espera-a-3,"Na semana passada, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.","Pouco tempo depois, A consulta do relógio respondeu corretamente ao horário de funcionamento da sala.",,,
100,m4-silencio-familia-c-1,"Numa tarde de inverno, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.","Quando a estação mudou, Ninguém tocou no assunto, mas todos pareciam saber por que a mesa ficou quieta.",,,
101,m4-musica-cozinha-a-1,"Na semana passada, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Pouco tempo depois, A melodia trouxe uma sala que já não existe para dentro daquela cozinha comum.",,,
102,m4-consulta-espera-a-2,"Na semana passada, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.","Pouco tempo depois, Na espera da consulta, conferi o relógio e evitei antecipar qualquer resposta.",,,
103,m4-cachorro-parque-b-1,"No começo do ano, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Meses depois, Por alguns minutos, a companhia não exigiu apresentação, conversa ou promessa.",,,
104,m4-cafe-manha-a-3,"Na semana passada, Fiz café cedo e fiquei alguns minutos acompanhando a claridade chegar à cozinha.","Pouco tempo depois, Comparei a claridade de duas lâmpadas para fotografar uma xícara de café na cozinha.",,,
105,m4-silencio-familia-a-4,"Na semana passada, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.","Pouco tempo depois, O almoço foi barulhento, sem pausa alguma, e ninguém ficou em silêncio.",,,
106,m4-casa-chuva-a-5,"Na semana passada, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Pouco tempo depois, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.",,,
107,m4-chave-antiga-c-4,"Numa tarde de inverno, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.","Quando a estação mudou, Não encontrei chave alguma e sabia exatamente como abrir todas as portas.",,,
108,m4-planta-varanda-a-4,"Na semana passada, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.","Pouco tempo depois, Não apareceu folha nova e eu nunca pensei que a planta estivesse em risco.",,,
109,m4-telefone-pai-b-2,"No começo do ano, Liguei para meu pai sem assunto específico e ficamos falando sobre coisas pequenas.","Meses depois, Telefonei para meu pai sem motivo definido e conversamos sobre detalhes comuns.",,,
110,m4-janela-vizinha-c-1,"Numa tarde de inverno, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Quando a estação mudou, Um gesto breve mudou a sensação de anonimato que o prédio tinha acumulado.",,,
111,m4-cachorro-parque-c-2,"Numa tarde de inverno, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Quando a estação mudou, No parque, um cachorro que eu não conhecia permaneceu ao meu lado até minha saída.",,,
112,m4-cachorro-parque-b-2,"No começo do ano, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Meses depois, No parque, um cachorro que eu não conhecia permaneceu ao meu lado até minha saída.",,,
113,m4-livro-esquecido-a-5,"Na semana passada, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Pouco tempo depois, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.",,,
114,m4-cachorro-parque-a-1,"Na semana passada, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Pouco tempo depois, Por alguns minutos, a companhia não exigiu apresentação, conversa ou promessa.",,,
115,m4-praia-inverno-a-3,"Na semana passada, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Pouco tempo depois, O relatório mediu a nitidez do áudio de passos usado numa campanha da praia de inverno.",,,
116,m4-amizade-distante-c-1,"Numa tarde de inverno, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Quando a estação mudou, Reencontrar uma voz conhecida mostrou quanto espaço o silêncio tinha criado entre nós.",,,
117,m4-planta-varanda-c-2,"Numa tarde de inverno, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.","Quando a estação mudou, Depois de achar que a planta morreria, vi uma folha nova surgindo na varanda.",,,
118,m4-cafe-manha-b-2,"No começo do ano, Fiz café cedo e fiquei alguns minutos acompanhando a claridade chegar à cozinha.","Meses depois, Preparei café de manhã e observei a luz entrar aos poucos na cozinha.",,,
119,m4-caixa-mudanca-b-1,"No começo do ano, Deixei uma caixa da mudança fechada porque ainda não sabia onde colocar aquelas coisas.","Meses depois, Nem tudo que veio comigo parecia pronto para ganhar lugar na casa nova.",,,
120,m4-praia-inverno-c-5,"Numa tarde de inverno, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Quando a estação mudou, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.",,,
121,m4-silencio-familia-c-3,"Numa tarde de inverno, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.","Quando a estação mudou, Comprei uma mesa grande para reduzir o barulho durante o almoço da família.",,,
122,m4-onibus-retorno-c-1,"Numa tarde de inverno, Peguei o ônibus de volta sem pressa e observei as luzes passando pela janela.","Quando a estação mudou, O trajeto conhecido me deu alguns minutos em que eu não precisava decidir nada.",,,
123,m4-janela-vizinha-a-5,"Na semana passada, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Pouco tempo depois, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.",,,
124,m4-musica-cozinha-c-4,"Numa tarde de inverno, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Quando a estação mudou, Lavei tudo em silêncio e nenhuma música alterou o ritmo dos meus movimentos.",,,
125,m4-consulta-espera-a-1,"Na semana passada, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.","Pouco tempo depois, Cada pessoa chamada pelo nome fazia a sala parecer mais vazia e a espera mais alta.",,,
126,m4-praia-inverno-b-2,"No começo do ano, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Meses depois, Andei na praia deserta durante o frio e escutei claramente cada passo.",,,
127,m4-mudanca-cidade-c-5,"Numa tarde de inverno, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.","Quando a estação mudou, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.",,,
128,m4-fotografia-caixa-c-3,"Numa tarde de inverno, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.","Quando a estação mudou, A caixa da câmera reconheceu automaticamente um rosto para ajustar a fotografia.",,,
129,m4-livro-esquecido-a-4,"Na semana passada, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Pouco tempo depois, Não abri nenhum livro e lembrava perfeitamente de todas as anotações guardadas.",,,
130,m4-fotografia-caixa-b-4,"No começo do ano, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.","Meses depois, Nenhuma fotografia apareceu e reconheci imediatamente todos os rostos que vi.",,,
